Timestamp,Protocol,Source IP,Source IP Type,Source Port,Source Service,Destination IP,Destination IP Type,Destination Port,Destination Service,Packet Size (B),TCP Flags
2025-03-30 18:32:51,TCP,192.168.0.103,Private,60210,,40.79.167.8,Public,443,HTTPS,55,ACK
2025-03-30 18:32:51,TCP,20.50.88.242,Public,443,HTTPS,192.168.0.103,Private,60244,,157,"ACK,PSH"
2025-03-30 18:32:51,TCP,20.50.88.242,Public,443,HTTPS,192.168.0.103,Private,60244,,480,"ACK,PSH"
2025-03-30 18:32:51,TCP,20.50.88.242,Public,443,HTTPS,192.168.0.103,Private,60244,,81,"ACK,FIN,PSH"
2025-03-30 18:32:51,TCP,192.168.0.103,Private,60244,,20.50.88.242,Public,443,HTTPS,54,ACK
2025-03-30 18:32:51,TCP,192.168.0.103,Private,60244,,20.50.88.242,Public,443,HTTPS,78,"ACK,PSH"
2025-03-30 18:32:51,TCP,192.168.0.103,Private,60244,,20.50.88.242,Public,443,HTTPS,54,"ACK,FIN"
2025-03-30 18:32:51,TCP,20.189.173.26,Public,443,HTTPS,192.168.0.103,Private,60236,,66,ACK
2025-03-30 18:32:52,TCP,20.189.173.26,Public,443,HTTPS,192.168.0.103,Private,60236,,153,"ACK,PSH"
2025-03-30 18:32:52,TCP,192.168.0.103,Private,60236,,20.189.173.26,Public,443,HTTPS,89,"ACK,PSH"
2025-03-30 18:32:52,TCP,40.79.167.8,Public,443,HTTPS,192.168.0.103,Private,60210,,66,ACK
2025-03-30 18:32:52,TCP,20.50.88.242,Public,443,HTTPS,192.168.0.103,Private,60244,,54,ACK
2025-03-30 18:32:52,TCP,192.168.0.103,Private,60236,,20.189.173.26,Public,443,HTTPS,89,"ACK,PSH"
2025-03-30 18:32:52,TCP,20.189.173.26,Public,443,HTTPS,192.168.0.103,Private,60236,,66,ACK
2025-03-30 18:32:52,TCP,192.168.0.103,Private,60211,,40.79.167.8,Public,443,HTTPS,55,ACK
2025-03-30 18:32:52,TCP,40.79.167.8,Public,443,HTTPS,192.168.0.103,Private,60211,,66,ACK
2025-03-30 18:32:52,Other (2),192.168.0.1,Private,Unknown,,224.0.0.1,Public,Unknown,,42,N/A
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60245,,20.50.201.205,Public,443,HTTPS,66,SYN
2025-03-30 18:32:53,TCP,20.50.201.205,Public,443,HTTPS,192.168.0.103,Private,60245,,66,"SYN,ACK"
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60245,,20.50.201.205,Public,443,HTTPS,54,ACK
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60245,,20.50.201.205,Public,443,HTTPS,571,"ACK,PSH"
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60236,,20.189.173.26,Public,443,HTTPS,172,"ACK,PSH"
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60236,,20.189.173.26,Public,443,HTTPS,1494,ACK
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60236,,20.189.173.26,Public,443,HTTPS,780,"ACK,PSH"
2025-03-30 18:32:53,TCP,20.50.201.205,Public,443,HTTPS,192.168.0.103,Private,60245,,54,ACK
2025-03-30 18:32:53,TCP,20.50.201.205,Public,443,HTTPS,192.168.0.103,Private,60245,,153,"ACK,PSH"
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60245,,20.50.201.205,Public,443,HTTPS,491,"ACK,PSH"
2025-03-30 18:32:53,TCP,20.189.173.26,Public,443,HTTPS,192.168.0.103,Private,60236,,54,ACK
2025-03-30 18:32:53,TCP,20.189.173.26,Public,443,HTTPS,192.168.0.103,Private,60236,,153,"ACK,PSH"
2025-03-30 18:32:53,TCP,20.50.201.205,Public,443,HTTPS,192.168.0.103,Private,60245,,54,ACK
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60236,,20.189.173.26,Public,443,HTTPS,54,ACK
2025-03-30 18:32:53,TCP,20.50.201.205,Public,443,HTTPS,192.168.0.103,Private,60245,,1514,"ACK,PSH"
2025-03-30 18:32:53,TCP,20.50.201.205,Public,443,HTTPS,192.168.0.103,Private,60245,,1514,ACK
2025-03-30 18:32:53,TCP,192.168.0.103,Private,60245,,20.50.201.205,Public,443,HTTPS,54,ACK
2025-03-30 18:32:53,TCP,216.58.203.35,Public,443,HTTPS,192.168.0.103,Private,60166,,127,"ACK,PSH"
